,BUILDINGID,wathtot,time
98,109d,183000.0,2021-11-23T15:00:01.722100Z
99,0002,325000.0,2021-11-22T15:00:01.096685Z
100,0005,4609000.0,2021-11-22T15:00:01.096685Z
101,0006,4682000.0,2021-11-22T15:00:01.096685Z
102,0007,4043000.0,2021-11-22T15:00:01.096685Z
103,0008,3794000.0,2021-11-22T15:00:01.096685Z
104,0009,1942000.0,2021-11-22T15:00:01.096685Z
105,0010,1711114.0,2021-11-22T15:00:01.096685Z
106,0012,680000.0,2021-11-22T15:00:01.096685Z
107,0013,513000.0,2021-11-22T15:00:01.096685Z
108,0014,235000.0,2021-11-22T15:00:01.096685Z
109,0015,45000.0,2021-11-22T15:00:01.096685Z
110,0016,2400000.0,2021-11-22T15:00:01.096685Z
111,0017,1549.0,2021-11-22T15:00:01.096685Z
112,0018,200000.0,2021-11-22T15:00:01.096685Z
113,0019,4776000.0,2021-11-22T15:00:01.096685Z
114,0027,634000.0,2021-11-22T15:00:01.096685Z
115,0029,3593000.0,2021-11-22T15:00:01.096685Z
116,0030,2442000.0,2021-11-22T15:00:01.096685Z
117,0031,1578000.0,2021-11-22T15:00:01.096685Z
118,0032,126000.0,2021-11-22T15:00:01.096685Z
119,0033,645000.0,2021-11-22T15:00:01.096685Z
120,0034,732000.0,2021-11-22T15:00:01.096685Z
121,0035,575000.0,2021-11-22T15:00:01.096685Z
122,0036,451000.0,2021-11-22T15:00:01.096685Z
123,0037,4674000.0,2021-11-22T15:00:01.096685Z
124,0038,1787000.0,2021-11-22T15:00:01.096685Z
125,0039,1829000.0,2021-11-22T15:00:01.096685Z
126,0040,249000.0,2021-11-22T15:00:01.096685Z
127,0041,24.0,2021-11-22T15:00:01.096685Z
128,0042,42000.0,2021-11-22T15:00:01.096685Z
129,0047,820000.0,2021-11-22T15:00:01.096685Z
130,0048,161000.0,2021-11-22T15:00:01.096685Z
131,0049,3828000.0,2021-11-22T15:00:01.096685Z
132,0051,1674000.0,2021-11-22T15:00:01.096685Z
133,0058,1332000.0,2021-11-22T15:00:01.096685Z
134,0063,3843000.0,2021-11-22T15:00:01.096685Z
135,0064,525000.0,2021-11-22T15:00:01.096685Z
136,0065,1115000.0,2021-11-22T15:00:01.096685Z
137,0066,560.0,2021-11-22T15:00:01.096685Z
138,0067,799000.0,2021-11-22T15:00:01.096685Z
139,0068,1183000.0,2021-11-22T15:00:01.096685Z
140,0069,3593.0,2021-11-22T15:00:01.096685Z
141,006a,301000.0,2021-11-22T15:00:01.096685Z
142,0071,500000.0,2021-11-22T15:00:01.096685Z
143,0072,694000.0,2021-11-22T15:00:01.096685Z
144,0073,410000.0,2021-11-22T15:00:01.096685Z
145,0074,485000.0,2021-11-22T15:00:01.096685Z
146,0075,424000.0,2021-11-22T15:00:01.096685Z
147,0076,621000.0,2021-11-22T15:00:01.096685Z
148,0077,290000.0,2021-11-22T15:00:01.096685Z
149,0080,263000.0,2021-11-22T15:00:01.096685Z
150,0081,667000.0,2021-11-22T15:00:01.096685Z
151,0083,315000.0,2021-11-22T15:00:01.096685Z
152,0084,235000.0,2021-11-22T15:00:01.096685Z
153,0085,210000.0,2021-11-22T15:00:01.096685Z
154,0086,206000.0,2021-11-22T15:00:01.096685Z
155,0087,785000.0,2021-11-22T15:00:01.096685Z
156,0088,93000.0,2021-11-22T15:00:01.096685Z
157,0089,181000.0,2021-11-22T15:00:01.096685Z
158,008b,4681000.0,2021-11-22T15:00:01.096685Z
159,0090,213000.0,2021-11-22T15:00:01.096685Z
160,0091,187000.0,2021-11-22T15:00:01.096685Z
161,0092,272000.0,2021-11-22T15:00:01.096685Z
162,0093,268000.0,2021-11-22T15:00:01.096685Z
163,0094,315000.0,2021-11-22T15:00:01.096685Z
164,0095,270000.0,2021-11-22T15:00:01.096685Z
165,0096,151000.0,2021-11-22T15:00:01.096685Z
166,0097,273000.0,2021-11-22T15:00:01.096685Z
167,0098,289.0,2021-11-22T15:00:01.096685Z
168,0099,357000.0,2021-11-22T15:00:01.096685Z
169,009a,6540000.0,2021-11-22T15:00:01.096685Z
170,0100,129000.0,2021-11-22T15:00:01.096685Z
171,0101,317000.0,2021-11-22T15:00:01.096685Z
172,0102,205000.0,2021-11-22T15:00:01.096685Z
173,0104,255000.0,2021-11-22T15:00:01.096685Z
174,0105,258000.0,2021-11-22T15:00:01.096685Z
175,0106,222000.0,2021-11-22T15:00:01.096685Z
176,0107,292000.0,2021-11-22T15:00:01.096685Z
177,0111,10317000.0,2021-11-22T15:00:01.096685Z
178,0113,2366000.0,2021-11-22T15:00:01.096685Z
179,0114,1076000.0,2021-11-22T15:00:01.096685Z
180,0115,389000.0,2021-11-22T15:00:01.096685Z
181,0117,3150000.0,2021-11-22T15:00:01.096685Z
182,0118,2134000.0,2021-11-22T15:00:01.096685Z
183,0121,1198000.0,2021-11-22T15:00:01.096685Z
184,0123,819000.0,2021-11-22T15:00:01.096685Z
185,0124,3468000.0,2021-11-22T15:00:01.096685Z
186,0128,476000.0,2021-11-22T15:00:01.096685Z
187,0130,157000.0,2021-11-22T15:00:01.096685Z
188,0151,622.0,2021-11-22T15:00:01.096685Z
189,016a,1001000.0,2021-11-22T15:00:01.096685Z
190,0194,236000.0,2021-11-22T15:00:01.096685Z
191,0201,3426000.0,2021-11-22T15:00:01.096685Z
192,0202,4338000.0,2021-11-22T15:00:01.096685Z
193,109a,300000.0,2021-11-22T15:00:01.096685Z
194,109b,298000.0,2021-11-22T15:00:01.096685Z
